strategy_name,n,order_json,source_order_json,scan_order,order_compact,order_hash,candidate_source,ppo_v03_checkpoint,ppo_seed,selected_by,predicted_lex_primary_score,predicted_u2_guarded_score,final_v03_score,case_dir,job_name,expected_cae,expected_inp,expected_jnl,generation_log,base_cae,batch_name,teacher_validated,abaqus_validated,partial_training_caveat
PPOV03_N24_B01_top_v03_score,24,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B01_top_v03_score\scan_order_PPOV03_N24_B01_top_v03_score.json,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\candidate_generation_v03\selected_batch32\scan_orders\scan_order_PPOV03_N24_B01_top_v03_score.json,"[23,21,18,12,19,13,22,20,17,16,14,15,10,9,0,5,2,4,11,8,6,7,3,1]","23,21,18,12,19,13,22,20,17,16,14,15,10,9,0,5,2,4,11,8,6,7,3,1",16ad0032681ce615,PPO_v03_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\ppo_training_v03\checkpoints\N24_seed20260627_maskable_ppo_v03.zip,20260627,top_v03_score,0.6772725379730041,0.27262269927536015,0.5243637879543723,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B01_top_v03_score,J2D_PPOV03_N24_B01_top_v03_score,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B01_top_v03_score\J2D_PPOV03_N24_B01_top_v03_score.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B01_top_v03_score\J2D_PPOV03_N24_B01_top_v03_score.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B01_top_v03_score\J2D_PPOV03_N24_B01_top_v03_score.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B01_top_v03_score\J2D_PPOV03_N24_B01_top_v03_score_stageQ_generation_log.json,E:\Projects\RL-LAM-ScanOpt\cae_model\24track_full\sanity_base\24track_sanity_base.cae,stage3_ppo_v03_lex_primary_N24_N40_batch32_v01,False,False,PPO v03 training was partial: N24 seed 20260627 reached 100000 timesteps from an interrupted checkpoint; N40 seed 20260627 reached 61440 timesteps. Training verdict: WARNING_V03_PPO_TRAINING_PARTIAL_REVIEW.
PPOV03_N24_B02_top_v03_score,24,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B02_top_v03_score\scan_order_PPOV03_N24_B02_top_v03_score.json,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\candidate_generation_v03\selected_batch32\scan_orders\scan_order_PPOV03_N24_B02_top_v03_score.json,"[17,18,19,23,21,22,20,12,16,15,6,9,11,14,10,7,13,8,4,2,5,0,3,1]","17,18,19,23,21,22,20,12,16,15,6,9,11,14,10,7,13,8,4,2,5,0,3,1",21fa3998281cd6b7,PPO_v03_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\ppo_training_v03\checkpoints\N24_seed20260627_maskable_ppo_v03.zip,20260627,top_v03_score,0.6920377519526854,0.24348640455489143,0.5220529776937478,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B02_top_v03_score,J2D_PPOV03_N24_B02_top_v03_score,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B02_top_v03_score\J2D_PPOV03_N24_B02_top_v03_score.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B02_top_v03_score\J2D_PPOV03_N24_B02_top_v03_score.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B02_top_v03_score\J2D_PPOV03_N24_B02_top_v03_score.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B02_top_v03_score\J2D_PPOV03_N24_B02_top_v03_score_stageQ_generation_log.json,E:\Projects\RL-LAM-ScanOpt\cae_model\24track_full\sanity_base\24track_sanity_base.cae,stage3_ppo_v03_lex_primary_N24_N40_batch32_v01,False,False,PPO v03 training was partial: N24 seed 20260627 reached 100000 timesteps from an interrupted checkpoint; N40 seed 20260627 reached 61440 timesteps. Training verdict: WARNING_V03_PPO_TRAINING_PARTIAL_REVIEW.
PPOV03_N24_B03_top_v03_score,24,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B03_top_v03_score\scan_order_PPOV03_N24_B03_top_v03_score.json,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\candidate_generation_v03\selected_batch32\scan_orders\scan_order_PPOV03_N24_B03_top_v03_score.json,"[19,17,18,15,21,23,22,14,16,12,20,8,13,9,10,11,6,2,0,3,7,4,5,1]","19,17,18,15,21,23,22,14,16,12,20,8,13,9,10,11,6,2,0,3,7,4,5,1",4b873bac462edf36,PPO_v03_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\ppo_training_v03\checkpoints\N24_seed20260627_maskable_ppo_v03.zip,20260627,top_v03_score,0.6886170585653425,0.2519625438670066,0.5216486784290211,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B03_top_v03_score,J2D_PPOV03_N24_B03_top_v03_score,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B03_top_v03_score\J2D_PPOV03_N24_B03_top_v03_score.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B03_top_v03_score\J2D_PPOV03_N24_B03_top_v03_score.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B03_top_v03_score\J2D_PPOV03_N24_B03_top_v03_score.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B03_top_v03_score\J2D_PPOV03_N24_B03_top_v03_score_stageQ_generation_log.json,E:\Projects\RL-LAM-ScanOpt\cae_model\24track_full\sanity_base\24track_sanity_base.cae,stage3_ppo_v03_lex_primary_N24_N40_batch32_v01,False,False,PPO v03 training was partial: N24 seed 20260627 reached 100000 timesteps from an interrupted checkpoint; N40 seed 20260627 reached 61440 timesteps. Training verdict: WARNING_V03_PPO_TRAINING_PARTIAL_REVIEW.
PPOV03_N24_B04_top_v03_score,24,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B04_top_v03_score\scan_order_PPOV03_N24_B04_top_v03_score.json,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\candidate_generation_v03\selected_batch32\scan_orders\scan_order_PPOV03_N24_B04_top_v03_score.json,"[19,21,22,23,17,20,11,18,13,15,14,9,12,10,16,7,2,8,4,6,5,3,0,1]","19,21,22,23,17,20,11,18,13,15,14,9,12,10,16,7,2,8,4,6,5,3,0,1",43629747c9ed4c03,PPO_v03_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\ppo_training_v03\checkpoints\N24_seed20260627_maskable_ppo_v03.zip,20260627,top_v03_score,0.6964262386449817,0.2369671901540492,0.5216026140930075,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B04_top_v03_score,J2D_PPOV03_N24_B04_top_v03_score,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B04_top_v03_score\J2D_PPOV03_N24_B04_top_v03_score.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B04_top_v03_score\J2D_PPOV03_N24_B04_top_v03_score.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B04_top_v03_score\J2D_PPOV03_N24_B04_top_v03_score.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B04_top_v03_score\J2D_PPOV03_N24_B04_top_v03_score_stageQ_generation_log.json,E:\Projects\RL-LAM-ScanOpt\cae_model\24track_full\sanity_base\24track_sanity_base.cae,stage3_ppo_v03_lex_primary_N24_N40_batch32_v01,False,False,PPO v03 training was partial: N24 seed 20260627 reached 100000 timesteps from an interrupted checkpoint; N40 seed 20260627 reached 61440 timesteps. Training verdict: WARNING_V03_PPO_TRAINING_PARTIAL_REVIEW.
PPOV03_N24_B05_top_v03_score,24,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B05_top_v03_score\scan_order_PPOV03_N24_B05_top_v03_score.json,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\candidate_generation_v03\selected_batch32\scan_orders\scan_order_PPOV03_N24_B05_top_v03_score.json,"[23,21,17,19,22,20,18,16,13,12,14,15,10,9,11,8,0,5,7,2,4,1,3,6]","23,21,17,19,22,20,18,16,13,12,14,15,10,9,11,8,0,5,7,2,4,1,3,6",c5aa1303e0f75254,PPO_v03_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\ppo_training_v03\checkpoints\N24_seed20260627_maskable_ppo_v03.zip,20260627,top_v03_score,0.6902960095676429,0.24622824851534258,0.5213811368724849,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B05_top_v03_score,J2D_PPOV03_N24_B05_top_v03_score,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B05_top_v03_score\J2D_PPOV03_N24_B05_top_v03_score.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B05_top_v03_score\J2D_PPOV03_N24_B05_top_v03_score.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B05_top_v03_score\J2D_PPOV03_N24_B05_top_v03_score.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B05_top_v03_score\J2D_PPOV03_N24_B05_top_v03_score_stageQ_generation_log.json,E:\Projects\RL-LAM-ScanOpt\cae_model\24track_full\sanity_base\24track_sanity_base.cae,stage3_ppo_v03_lex_primary_N24_N40_batch32_v01,False,False,PPO v03 training was partial: N24 seed 20260627 reached 100000 timesteps from an interrupted checkpoint; N40 seed 20260627 reached 61440 timesteps. Training verdict: WARNING_V03_PPO_TRAINING_PARTIAL_REVIEW.
PPOV03_N24_B06_u2_guarded,24,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B06_u2_guarded\scan_order_PPOV03_N24_B06_u2_guarded.json,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\candidate_generation_v03\selected_batch32\scan_orders\scan_order_PPOV03_N24_B06_u2_guarded.json,"[19,17,21,14,23,16,13,15,18,22,20,12,10,8,9,11,5,7,3,6,2,4,0,1]","19,17,21,14,23,16,13,15,18,22,20,12,10,8,9,11,5,7,3,6,2,4,0,1",ab9002ad468ed40e,PPO_v03_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\ppo_training_v03\checkpoints\N24_seed20260627_maskable_ppo_v03.zip,20260627,u2_guarded,0.6804908837876286,0.2647359772606091,0.5199598330982174,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B06_u2_guarded,J2D_PPOV03_N24_B06_u2_guarded,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B06_u2_guarded\J2D_PPOV03_N24_B06_u2_guarded.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B06_u2_guarded\J2D_PPOV03_N24_B06_u2_guarded.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B06_u2_guarded\J2D_PPOV03_N24_B06_u2_guarded.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B06_u2_guarded\J2D_PPOV03_N24_B06_u2_guarded_stageQ_generation_log.json,E:\Projects\RL-LAM-ScanOpt\cae_model\24track_full\sanity_base\24track_sanity_base.cae,stage3_ppo_v03_lex_primary_N24_N40_batch32_v01,False,False,PPO v03 training was partial: N24 seed 20260627 reached 100000 timesteps from an interrupted checkpoint; N40 seed 20260627 reached 61440 timesteps. Training verdict: WARNING_V03_PPO_TRAINING_PARTIAL_REVIEW.
PPOV03_N24_B07_u2_guarded,24,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B07_u2_guarded\scan_order_PPOV03_N24_B07_u2_guarded.json,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\candidate_generation_v03\selected_batch32\scan_orders\scan_order_PPOV03_N24_B07_u2_guarded.json,"[21,23,18,19,12,17,16,20,22,14,13,7,10,15,9,11,4,8,6,2,0,1,5,3]","21,23,18,19,12,17,16,20,22,14,13,7,10,15,9,11,4,8,6,2,0,1,5,3",26548bee3d03275a,PPO_v03_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\ppo_training_v03\checkpoints\N24_seed20260627_maskable_ppo_v03.zip,20260627,u2_guarded,0.6336366071468433,0.25657431304886313,0.4876885049802813,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B07_u2_guarded,J2D_PPOV03_N24_B07_u2_guarded,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B07_u2_guarded\J2D_PPOV03_N24_B07_u2_guarded.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B07_u2_guarded\J2D_PPOV03_N24_B07_u2_guarded.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B07_u2_guarded\J2D_PPOV03_N24_B07_u2_guarded.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B07_u2_guarded\J2D_PPOV03_N24_B07_u2_guarded_stageQ_generation_log.json,E:\Projects\RL-LAM-ScanOpt\cae_model\24track_full\sanity_base\24track_sanity_base.cae,stage3_ppo_v03_lex_primary_N24_N40_batch32_v01,False,False,PPO v03 training was partial: N24 seed 20260627 reached 100000 timesteps from an interrupted checkpoint; N40 seed 20260627 reached 61440 timesteps. Training verdict: WARNING_V03_PPO_TRAINING_PARTIAL_REVIEW.
PPOV03_N24_B08_u2_guarded,24,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B08_u2_guarded\scan_order_PPOV03_N24_B08_u2_guarded.json,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\candidate_generation_v03\selected_batch32\scan_orders\scan_order_PPOV03_N24_B08_u2_guarded.json,"[11,17,21,23,19,12,20,16,18,14,22,13,7,9,10,15,8,6,4,5,2,1,3,0]","11,17,21,23,19,12,20,16,18,14,22,13,7,9,10,15,8,6,4,5,2,1,3,0",2412cb33a822a89d,PPO_v03_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\ppo_training_v03\checkpoints\N24_seed20260627_maskable_ppo_v03.zip,20260627,u2_guarded,0.669746352090571,0.2487578660222169,0.506935978932064,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B08_u2_guarded,J2D_PPOV03_N24_B08_u2_guarded,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B08_u2_guarded\J2D_PPOV03_N24_B08_u2_guarded.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B08_u2_guarded\J2D_PPOV03_N24_B08_u2_guarded.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B08_u2_guarded\J2D_PPOV03_N24_B08_u2_guarded.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B08_u2_guarded\J2D_PPOV03_N24_B08_u2_guarded_stageQ_generation_log.json,E:\Projects\RL-LAM-ScanOpt\cae_model\24track_full\sanity_base\24track_sanity_base.cae,stage3_ppo_v03_lex_primary_N24_N40_batch32_v01,False,False,PPO v03 training was partial: N24 seed 20260627 reached 100000 timesteps from an interrupted checkpoint; N40 seed 20260627 reached 61440 timesteps. Training verdict: WARNING_V03_PPO_TRAINING_PARTIAL_REVIEW.
PPOV03_N24_B09_u2_guarded,24,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B09_u2_guarded\scan_order_PPOV03_N24_B09_u2_guarded.json,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\candidate_generation_v03\selected_batch32\scan_orders\scan_order_PPOV03_N24_B09_u2_guarded.json,"[23,18,21,16,20,17,19,14,15,22,10,8,11,12,9,6,7,13,5,0,4,1,3,2]","23,18,21,16,20,17,19,14,15,22,10,8,11,12,9,6,7,13,5,0,4,1,3,2",beee19bb2689afd8,PPO_v03_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\ppo_training_v03\checkpoints\N24_seed20260627_maskable_ppo_v03.zip,20260627,u2_guarded,0.6293509637593652,0.2474901076915482,0.48375213389587907,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B09_u2_guarded,J2D_PPOV03_N24_B09_u2_guarded,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B09_u2_guarded\J2D_PPOV03_N24_B09_u2_guarded.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B09_u2_guarded\J2D_PPOV03_N24_B09_u2_guarded.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B09_u2_guarded\J2D_PPOV03_N24_B09_u2_guarded.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B09_u2_guarded\J2D_PPOV03_N24_B09_u2_guarded_stageQ_generation_log.json,E:\Projects\RL-LAM-ScanOpt\cae_model\24track_full\sanity_base\24track_sanity_base.cae,stage3_ppo_v03_lex_primary_N24_N40_batch32_v01,False,False,PPO v03 training was partial: N24 seed 20260627 reached 100000 timesteps from an interrupted checkpoint; N40 seed 20260627 reached 61440 timesteps. Training verdict: WARNING_V03_PPO_TRAINING_PARTIAL_REVIEW.
PPOV03_N24_B10_lex_primary_novel,24,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B10_lex_primary_novel\scan_order_PPOV03_N24_B10_lex_primary_novel.json,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\candidate_generation_v03\selected_batch32\scan_orders\scan_order_PPOV03_N24_B10_lex_primary_novel.json,"[21,23,16,19,20,22,10,18,17,13,15,12,14,11,8,4,3,2,9,6,5,7,0,1]","21,23,16,19,20,22,10,18,17,13,15,12,14,11,8,4,3,2,9,6,5,7,0,1",70dab46204755b44,PPO_v03_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\ppo_training_v03\checkpoints\N24_seed20260627_maskable_ppo_v03.zip,20260627,lex_primary_novel,0.6946849202842107,0.21075262739104525,0.5129987913112573,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B10_lex_primary_novel,J2D_PPOV03_N24_B10_lex_primary_novel,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B10_lex_primary_novel\J2D_PPOV03_N24_B10_lex_primary_novel.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B10_lex_primary_novel\J2D_PPOV03_N24_B10_lex_primary_novel.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B10_lex_primary_novel\J2D_PPOV03_N24_B10_lex_primary_novel.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_v03_lex_primary_N24_N40_batch32_v01\N24PPOV03_N24_B10_lex_primary_novel\J2D_PPOV03_N24_B10_lex_primary_novel_stageQ_generation_log.json,E:\Projects\RL-LAM-ScanOpt\cae_model\24track_full\sanity_base\24track_sanity_base.cae,stage3_ppo_v03_lex_primary_N24_N40_batch32_v01,False,False,PPO v03 training was partial: N24 seed 20260627 reached 100000 timesteps from an interrupted checkpoint; N40 seed 20260627 reached 61440 timesteps. Training verdict: WARNING_V03_PPO_TRAINING_PARTIAL_REVIEW.
