n,order_hash,candidate_source,selection_bucket,generation_method,seed_strategy,first_track_norm,last_track_norm,normalized_mean_jump,normalized_max_jump,adjacent_jump_count,long_jump_count,parity_switch_rate,monotonicity_fraction,direction_reversal_count,jump_entropy,early_center_bias,late_center_bias,edge_early_count,center_early_count,max_unvisited_gap_proxy_mean_norm,max_unvisited_gap_proxy_max_norm,odd_even_transition_count,candidate_id,strategy_name,order_json,order_compact,novelty_distance_to_combined172,nearest_existing_teacher_strategy,duplicate_of_combined172_teacher,duplicate_of_previous_candidate_pool,surrogate_reward_pred,gnn_reward_pred,graph_pointer_mean_logprob,gnn_candidate_scoring_mode,graph_pointer_candidate_score_note,pred_u2_score,pred_peeq_score,pred_surfaceT_score,pred_mises_score,gnn_surrogate_disagreement,hybrid_score,acquisition_score,surrogate_reward_pred_rank_within_n,gnn_reward_pred_rank_within_n,hybrid_score_rank_within_n,gnn_surrogate_disagreement_rank_within_n,novelty_distance_to_combined172_rank_within_n,batch32_rank_within_n
12,f23168f0033f34d8,graph_pointer_beam_search,gnn_policy_top_candidates,beam_0,,0.0,1.0,0.2231404958677686,0.36363636363636365,2,0,0.2727272727272727,0.8,2,1.240684291949396,0.6363636363636364,0.7575757575757577,2,1,0.3125,0.9166666666666666,3.0,R29_N12_C00001,N12_R29_N12_C00001_gnn_policy_top_candidates,"[0,2,4,6,9,5,1,3,7,8,10,11]",0-2-4-6-9-5-1-3-7-8-10-11,0.19696969696969696,N12_A01_raster_left_to_right,False,False,0.5867957665517006,0.5745956457397334,nan,fast_feature_proxy_fit_to_trained_gnn_teacher_predictions,not computed for full pool to keep Run29 lightweight; policy was trained/evaluated separately,0.6491423995216983,0.5077667764359778,0.5209629220037466,0.3206297455760863,0.012200120811967197,0.4966555597620348,0.5065040446105197,122,54,80,645,422,1
12,9a61190aeb21562c,gnn_reward_local_search,hybrid_gnn_surrogate_agreement,edge_center,,0.9090909090909091,0.2727272727272727,0.3884297520661157,0.7272727272727273,0,3,0.2727272727272727,0.5,5,1.4681399390112087,0.5757575757575758,0.6363636363636364,2,1,0.22916666666666666,0.8333333333333334,3.0,R29_N12_C00768,N12_R29_N12_C00768_hybrid_gnn_surrogate_agreement,"[10,4,2,6,9,5,1,7,11,8,0,3]",10-4-2-6-9-5-1-7-11-8-0-3,0.4090909090909091,N12_A04_method_c_u2_first_engineering,False,False,0.40354169830000913,0.4689230072099183,nan,fast_feature_proxy_fit_to_trained_gnn_teacher_predictions,not computed for full pool to keep Run29 lightweight; policy was trained/evaluated separately,0.3384771341598515,0.4505738385307491,0.33462017267860605,0.6123039756196329,0.06538130890990917,0.37686622304654277,0.3973207685010882,366,238,276,170,7,2
12,03a2753a9e1d2d6c,surrogate_known_best_local_search,hybrid_gnn_surrogate_disagreement,block_swap,N12_A08_block_interleaved_quarters,0.18181818181818182,1.0,0.371900826446281,0.9090909090909091,1,2,0.8181818181818182,0.6,4,1.1595888143036257,0.2727272727272727,0.6363636363636364,1,2,0.2222222222222222,0.75,9.0,R29_N12_C00223,N12_R29_N12_C00223_hybrid_gnn_surrogate_disagreement,"[2,5,6,9,1,4,7,10,0,3,8,11]",2-5-6-9-1-4-7-10-0-3-8-11,0.2727272727272727,N12_A05_center_out,False,False,0.572221849632758,0.39623402284768716,nan,fast_feature_proxy_fit_to_trained_gnn_teacher_predictions,not computed for full pool to keep Run29 lightweight; policy was trained/evaluated separately,0.5767386073507088,0.5523185111487819,0.6325195347388183,0.37995080353741406,0.17598782678507086,0.4593295466188656,0.4729659102552292,132,386,139,2,240,3
12,5b93868b817d697c,surrogate_known_best_local_search,surrogate_known_best_local_search,swap_mutation,S3B20_N12_B04_surrogate_top,0.0,1.0,0.2727272727272727,0.9090909090909091,1,1,0.09090909090909091,0.6,4,1.0335620542028177,0.7575757575757577,0.6363636363636364,2,1,0.2847222222222222,0.9166666666666666,1.0,R29_N12_C00166,N12_R29_N12_C00166_surrogate_known_best_local_search,"[0,10,8,6,4,2,1,5,3,7,9,11]",0-10-8-6-4-2-1-5-3-7-9-11,0.015151515151515152,S3B20_N12_B04_surrogate_top,False,False,0.7260238551026101,0.5976629232565756,nan,fast_feature_proxy_fit_to_trained_gnn_teacher_predictions,not computed for full pool to keep Run29 lightweight; policy was trained/evaluated separately,0.7316834865218022,0.7241146440381372,0.4435332440187689,0.37560527457081877,0.1283609318460346,0.5639290405332131,0.5646866162907889,6,23,9,33,776,4
16,22529512b41ad92c,N16_new_best_neighborhood,new_best_local_search,block_swap,S3R24L64_N16_B02_top_region,0.6666666666666666,1.0,0.21777777777777776,0.9333333333333333,1,1,0.06666666666666667,0.7857142857142857,3,1.0805738483598537,0.43333333333333335,0.6,1,3,0.171875,0.625,1.0,R29_N16_C00141,N16_R29_N16_C00141_new_best_local_search,"[10,6,4,2,8,12,14,0,1,3,5,7,9,11,13,15]",10-6-4-2-8-12-14-0-1-3-5-7-9-11-13-15,0.058333333333333334,S3R19B28_N16_B02_u2_primary_top,False,False,0.797533505551895,0.6688548919597503,nan,fast_feature_proxy_fit_to_trained_gnn_teacher_predictions,not computed for full pool to keep Run29 lightweight; policy was trained/evaluated separately,0.9233099936354723,0.6543335124614797,0.6790935583454105,0.14387611493128766,0.1286786135921446,0.6434248189485643,0.646341485615231,5,3,1,82,578,1
16,36e7517c3f970497,N16_new_best_neighborhood,new_best_local_search,reverse_segment,S3R24L64_N16_B02_top_region,0.5333333333333333,1.0,0.21777777777777776,0.9333333333333333,1,2,0.06666666666666667,0.7857142857142857,3,0.9495936677117385,0.43333333333333335,0.6,1,3,0.1875,0.5,1.0,R29_N16_C00130,N16_R29_N16_C00130_new_best_local_search,"[8,6,4,0,14,12,10,2,1,3,5,7,9,11,13,15]",8-6-4-0-14-12-10-2-1-3-5-7-9-11-13-15,0.08333333333333333,S3R24L64_N16_B02_top_region,False,False,0.799513666181318,0.6569674433019719,nan,fast_feature_proxy_fit_to_trained_gnn_teacher_predictions,not computed for full pool to keep Run29 lightweight; policy was trained/evaluated separately,0.9057512628619904,0.7042122634477708,0.746049023726188,0.13537804829721808,0.14254622287934615,0.6424979723485866,0.6466646390152533,3,12,2,61,472,2
16,54447f862d3632cf,N16_new_best_neighborhood,new_best_local_search,reverse_segment,S3R24L64_N16_B02_top_region,0.6666666666666666,1.0,0.21777777777777776,0.9333333333333333,1,2,0.06666666666666667,0.7857142857142857,3,0.9495936677117385,0.43333333333333335,0.6,1,3,0.17578125,0.625,1.0,R29_N16_C00107,N16_R29_N16_C00107_new_best_local_search,"[10,2,4,6,8,12,14,0,1,3,5,7,9,11,13,15]",10-2-4-6-8-12-14-0-1-3-5-7-9-11-13-15,0.03333333333333333,S3R19B28_N16_B02_u2_primary_top,False,False,0.7979498009618685,0.6678771354910539,nan,fast_feature_proxy_fit_to_trained_gnn_teacher_predictions,not computed for full pool to keep Run29 lightweight; policy was trained/evaluated separately,0.9224202260688941,0.6422756324256974,0.6811860904835909,0.15033680744225644,0.13007266547081464,0.6408528380482598,0.6425195047149265,4,4,3,79,684,3
16,dd925914dacf0b61,N16_new_best_neighborhood,new_best_local_search,reverse_segment,S3R24L64_N16_B02_top_region,0.5333333333333333,1.0,0.20888888888888887,0.9333333333333333,1,1,0.06666666666666667,0.7857142857142857,3,0.9495936677117385,0.36666666666666664,0.6,1,3,0.18359375,0.5,1.0,R29_N16_C00815,N16_R29_N16_C00815_new_best_local_search,"[8,2,4,6,10,12,14,0,1,3,5,7,9,11,13,15]",8-2-4-6-10-12-14-0-1-3-5-7-9-11-13-15,0.025,S3R19B28_N16_B02_u2_primary_top,False,False,0.8000286279567099,0.6603150225944078,nan,fast_feature_proxy_fit_to_trained_gnn_teacher_predictions,not computed for full pool to keep Run29 lightweight; policy was trained/evaluated separately,0.9082437268382895,0.7143047266627108,0.7379781848113047,0.13297727244299545,0.13971360536230215,0.6377981263932595,0.6390481263932595,2,11,4,67,786,4
24,855fe95ef34819e1,graph_pointer_beam_search,gnn_policy_top_candidates,beam_4,,0.0,0.8260869565217391,0.13043478260869565,0.9130434782608695,0,1,0.043478260869565216,0.8636363636363636,3,0.4702359623522493,0.5652173913043478,0.5652173913043478,3,3,0.2690972222222222,0.9583333333333334,1.0,R29_N24_C00003,N24_R29_N24_C00003_gnn_policy_top_candidates,"[0,2,4,6,8,10,12,14,16,18,20,22,1,3,5,7,9,11,13,15,17,21,23,19]",0-2-4-6-8-10-12-14-16-18-20-22-1-3-5-7-9-11-13-15-17-21-23-19,0.007246376811594203,N24_A02_odd_even_interlaced,False,False,0.6602372178596033,0.6728327212338315,nan,fast_feature_proxy_fit_to_trained_gnn_teacher_predictions,not computed for full pool to keep Run29 lightweight; policy was trained/evaluated separately,0.7576114463720603,0.5959700861459649,0.34566910275811186,0.4645777264697865,0.012595503374228212,0.5479289724266905,0.5482912912672702,734,40,208,2207,2388,1
24,118d12b59c9f6409,graph_pointer_beam_search,gnn_policy_top_candidates,beam_2,,0.0,0.043478260869565216,0.15689981096408318,0.9565217391304348,0,2,0.043478260869565216,0.8636363636363636,3,0.355712859743894,0.5652173913043478,0.6956521739130435,3,3,0.2690972222222222,0.9583333333333334,1.0,R29_N24_C00002,N24_R29_N24_C00002_gnn_policy_top_candidates,"[0,2,4,6,8,10,12,14,16,18,20,22,3,5,7,9,11,13,15,17,19,21,23,1]",0-2-4-6-8-10-12-14-16-18-20-22-3-5-7-9-11-13-15-17-19-21-23-1,0.03985507246376811,N24_A02_odd_even_interlaced,False,False,0.6894170530777957,0.6001282479337211,nan,fast_feature_proxy_fit_to_trained_gnn_teacher_predictions,not computed for full pool to keep Run29 lightweight; policy was trained/evaluated separately,0.7185591977939421,0.5658812414253026,0.5094542876957165,0.43474778072902476,0.08928880514407456,0.5464971506444241,0.5484899042676125,350,687,219,720,1754,2
